tract_fips,county_name,diabetes_crude_prev,obesity_crude_prev,bphigh_crude_prev,csmoking_crude_prev,lpa_crude_prev,checkup_crude_prev,access2_crude_prev,geolocation
53001000100,Adams,16.5,35.7,36.8,16.8,23.8,68.7,14.9,POINT (-118.6782 47.0550)
53001000200,Adams,17.1,35.5,37.7,13.1,20.4,71.0,2.8,POINT (-118.6203 47.0363)
53001000300,Adams,10.9,23.3,21.3,8.0,10.0,62.0,6.9,POINT (-118.3865 46.9835)
53001000400,Adams,14.7,33.2,28.1,11.1,18.3,64.5,9.2,POINT (-118.5599 46.8412)
53001000500,Adams,13.7,29.8,28.1,14.3,19.9,64.0,12.3,POINT (-118.5248 47.0863)
53001000600,Adams,12.2,29.1,21.9,7.3,13.4,69.1,3.9,POINT (-118.6009 46.9131)
53001000700,Adams,15.0,32.1,28.2,10.5,16.4,71.3,5.8,POINT (-118.4037 47.0341)
53001000800,Adams,10.8,27.1,23.3,7.5,13.8,70.2,5.5,POINT (-118.7314 46.8423)
53001000900,Adams,13.1,28.6,29.3,12.1,16.5,67.4,3.7,POINT (-118.6669 46.9275)
53001001000,Adams,12.3,31.9,30.9,11.1,19.4,69.8,5.5,POINT (-118.6715 46.9095)
53003000100,Asotin,12.2,41.0,33.2,18.4,19.8,71.4,8.4,POINT (-117.3578 46.0987)
53003000200,Asotin,10.6,31.5,24.0,10.7,17.9,71.9,5.9,POINT (-117.3523 46.3202)
53003000300,Asotin,9.3,26.4,28.6,9.7,14.0,70.2,4.4,POINT (-117.3115 46.1013)
53003000400,Asotin,13.8,34.0,34.0,12.4,17.1,70.8,6.7,POINT (-117.1077 46.3199)
53003000500,Asotin,11.4,31.5,26.7,10.6,16.6,65.7,7.2,POINT (-117.3681 46.2769)
53003000600,Asotin,12.4,42.8,34.2,16.6,24.7,63.8,13.3,POINT (-117.2467 46.2909)
53003000700,Asotin,11.5,43.7,31.9,16.7,24.6,65.5,15.6,POINT (-117.1797 46.1188)
53003000800,Asotin,13.2,39.6,32.4,17.8,22.3,70.5,15.8,POINT (-117.0985 46.2867)
53005000100,Benton,7.4,24.7,24.6,7.1,8.7,68.4,2.8,POINT (-119.3487 46.3470)
53005000200,Benton,11.0,30.1,35.4,9.7,16.7,73.2,2.8,POINT (-119.5505 46.1514)
53005000300,Benton,10.4,38.8,27.4,14.5,22.7,70.5,8.1,POINT (-119.3683 46.0844)
53005000400,Benton,6.5,27.9,24.2,9.5,15.5,65.7,7.5,POINT (-119.3754 46.1264)
53005000500,Benton,10.6,30.1,35.4,12.1,16.4,72.3,3.0,POINT (-119.5727 46.1788)
53005000600,Benton,11.8,40.8,32.1,17.2,26.4,71.5,17.9,POINT (-119.5892 46.0917)
53005000700,Benton,9.2,27.4,25.6,7.9,14.2,69.4,5.6,POINT (-119.7098 46.3465)
53005000800,Benton,11.9,35.9,37.5,13.2,28.1,72.8,11.4,POINT (-119.7074 46.2019)
53005000900,Benton,7.2,29.0,24.1,11.0,17.4,67.2,6.2,POINT (-119.6509 46.1913)
53005001000,Benton,6.1,22.7,24.1,7.4,8.9,68.4,2.8,POINT (-119.3690 46.1557)
53005001100,Benton,7.6,28.4,25.5,7.3,14.1,70.2,6.8,POINT (-119.6105 46.2108)
53005001200,Benton,12.5,30.8,31.5,12.7,21.7,70.7,19.6,POINT (-119.6632 46.2568)
53005001300,Benton,11.3,39.6,35.6,16.2,23.6,72.4,8.6,POINT (-119.5015 46.1578)
53005001400,Benton,9.2,28.6,28.3,14.6,15.8,70.0,2.9,POINT (-119.4483 46.1513)
53005001500,Benton,8.7,34.5,28.1,10.0,15.3,71.1,2.9,POINT (-119.4112 46.2274)
53005001600,Benton,10.4,33.1,29.0,16.2,24.3,61.8,15.7,POINT (-119.6737 46.3645)
53005001700,Benton,8.2,32.5,24.8,11.0,18.4,70.5,4.9,POINT (-119.5922 46.1804)
53005001800,Benton,9.0,28.2,26.0,13.2,19.8,63.7,13.7,POINT (-119.3959 46.1254)
