county_name,diabetes_crude_prev,obesity_crude_prev,bphigh_crude_prev,csmoking_crude_prev,lpa_crude_prev,checkup_crude_prev,access2_crude_prev
Ferry,15.633333333333335,36.43333333333333,41.300000000000004,18.233333333333334,25.3,72.5,8.033333333333333
Pacific,15.045454545454545,36.76363636363636,43.0,14.054545454545455,22.645454545454545,74.77272727272727,7.763636363636365
Okanogan,14.376923076923077,38.61538461538461,37.9,16.007692307692306,25.015384615384615,69.62307692307692,11.23076923076923
Wahkiakum,13.8,40.3,39.7,14.1,22.2,71.5,7.1
Garfield,13.2,37.5,40.0,14.6,24.2,72.7,6.3
Yakima,12.942105263157895,41.43508771929825,32.56315789473684,14.917543859649122,29.240350877192984,69.65964912280701,19.228070175438596
Stevens,12.92,33.42666666666667,35.99333333333333,15.379999999999999,20.60666666666667,72.61999999999999,7.346666666666667
Columbia,12.8,38.5,37.2,13.8,22.7,73.8,6.8
Pend Oreille,12.620000000000001,33.720000000000006,39.160000000000004,14.34,20.7,70.53999999999999,6.62
Asotin,12.549999999999999,35.15,37.016666666666666,15.916666666666666,21.78333333333333,72.51666666666667,7.733333333333333
Clallam,12.508333333333333,34.65833333333333,38.949999999999996,12.608333333333334,20.633333333333333,73.52916666666667,6.758333333333333
Grays Harbor,12.445,37.06,38.25,15.825,24.075,70.41,8.83
Jefferson,12.39,26.369999999999997,39.42,10.45,17.19,74.05,5.409999999999999
Klickitat,12.383333333333333,33.483333333333334,35.4,13.516666666666666,21.316666666666666,70.0,8.35
Adams,12.257142857142856,37.82857142857143,31.014285714285712,14.757142857142858,27.571428571428573,64.77142857142857,21.24285714285714
Mason,12.226315789473684,38.38421052631579,36.82105263157895,14.463157894736844,22.13684210526316,69.48421052631579,8.442105263157895
Lincoln,12.1,34.35,35.525,12.75,21.299999999999997,72.075,6.6
Cowlitz,12.006666666666666,39.473333333333336,34.04333333333333,14.92,22.95,67.71,8.476666666666667
Grant,11.98695652173913,42.0304347826087,32.70869565217391,14.478260869565217,27.87391304347826,66.80869565217391,16.230434782608697
Lewis,11.857142857142858,40.91428571428572,36.233333333333334,14.961904761904762,21.576190476190476,68.38571428571429,8.495238095238095
Douglas,11.677777777777777,37.91111111111111,32.333333333333336,13.58888888888889,22.87777777777778,68.21111111111111,13.466666666666667
Franklin,11.576190476190476,40.12857142857143,27.142857142857142,14.195238095238096,26.014285714285712,66.51904761904763,21.3
Skamania,11.48,36.64,35.1,13.6,17.919999999999998,71.72,6.5200000000000005
San Juan,11.2,25.7375,35.1875,9.4625,15.975,74.4125,5.325
Chelan,11.152173913043478,28.38695652173913,32.61739130434783,11.917391304347827,18.108695652173914,71.01304347826087,10.31304347826087
Skagit,10.960975609756098,36.178048780487806,33.853658536585364,11.917073170731708,20.01707317073171,70.23658536585366,8.573170731707316
Walla Walla,10.921428571428573,32.128571428571426,30.907142857142855,12.87857142857143,18.514285714285712,70.77857142857142,10.335714285714285
Thurston,10.711475409836066,33.736065573770496,31.68032786885246,11.337704918032788,16.785245901639342,69.05245901639344,6.731147540983607
Benton,10.522727272727273,40.00681818181818,29.772727272727273,12.04090909090909,21.724999999999998,70.92045454545455,10.068181818181818
Clark,10.424347826086956,33.88434782608695,29.34,12.2,17.46782608695652,67.27652173913043,7.55304347826087
Spokane,10.203076923076924,33.46076923076923,29.926923076923078,13.24923076923077,21.18,70.59153846153846,6.898461538461538
Snohomish,10.172832369942197,33.20578034682081,28.148554913294795,10.572832369942196,17.403468208092487,69.75028901734103,7.173410404624278
Island,10.156521739130435,33.7,32.18695652173913,10.730434782608697,16.921739130434784,72.30434782608695,6.560869565217391
Pierce,10.051295336787565,36.43782383419689,30.639378238341965,13.26839378238342,18.897927461139897,67.42849740932643,7.9891191709844565
Kittitas,9.735714285714286,30.17142857142857,31.571428571428573,12.1,20.685714285714287,69.50714285714285,7.607142857142857
Whatcom,9.65925925925926,28.06111111111111,31.41296296296296,11.603703703703705,16.03333333333333,68.2462962962963,6.968518518518518
Kitsap,9.476271186440679,32.389830508474574,31.523728813559323,10.932203389830509,17.547457627118643,70.80169491525425,6.730508474576272
Whitman,8.049999999999999,27.55,25.55,10.783333333333333,18.825,65.95833333333333,7.666666666666667
King,7.437854251012146,23.760121457489877,24.939271255060728,8.317611336032387,13.874291497975708,68.59433198380566,6.516599190283401
